classes,filtered_text
4,ecmo assisted angioplasty cardiomyopathy patient unstable angina patient remain nyha class ii iii
4,congestive heart failure coronary event atherothrombotic brain infarction elderly black white systemic hypertension echocardiographic electrocardiographic evidence left ventricular hypertrophy echocardiographic lv hypertrophy p serum total cholesterol concentric lv hypertrophy prior coronary artery disease independent risk factor coronary event
4,giant carotidophthalmic artery aneurysm direct clipping utilizing trappingevacuation technique preoperative magnetic resonance imaging evaluation anatomical detail balloon occlusion test ica intraoperative measurement cortical blood flow important success operation
4,longterm treatment hereditary angioedema attenuated androgen survey year experience found complex elevated treatment promptly reverted normal value androgen therapy remained normal reduction dose drug long patient remained symptom free
4,endovascular management arterial intimal defect experimental comparison arteriography angioscopy intravascular ultrasonography conclude endovascular management intimal defect possible
4,improving compliance increasing control hypertension need special hypertensive population black patient hypertension accentuated response diuretic blunted response betablockers angiotensinconverting enzyme ace inhibitor monotherapy
4,monitoring spinal cord stimulation evoked potential thoracoabdominal aneurysm surgery technique insertion percutaneous epidural electrode developed originally pain management adapted setting permit direct stimulation spinal cord intraoperative monitoring evoked potential
4,nd yag laser sapphire tip combined balloon angioplasty peripheral arterial occlusion cpr month wa significantly lower p le patient younger year age older wa significantly lower p le reduced peripheral runoff obstructed artery lower leg unaffected runoff
4,effect intravenous streptokinase relation initial stpredicted size final qrsestimated acute myocardial infarct multiple regression analysis adjusting difference predicted infarct confirmed significance streptokinase difference infarct p
4,pulse rate coronary heart disease death nhanes epidemiologic followup study association cardiovascular death wa particularly striking black woman adjusting baseline risk factor rr cl
4,prognostic value predischarge lowlevel exercise thallium testing thrombolytic treatment acute myocardial infarction relatively weak correlation outcome unmasking ischemia laboratory discharge unstable coronary lesion rapid progression disease test
4,hemorrhoidectomy pregnancy risk relief percent patient required additional hemorrhoid treatment
4,dietary calcium vascular reactivity genetic hypertension lyon rat strain contrast age vitro contractile response isolated aorta ne wa significantly decreased lh compared ln ll rat receiving nca diet
4,estimating benefit cholesterol lowering risk factor coronary heart disease multiplicative chd death rate screenee population multiple risk factor intervention trial examined suggest relationship cholesterol major risk factor closer additive multiplicative
4,detection patient risk paroxysmal atrial fibrillation sinus rhythm p wavetriggered signalaveraged electrocardiogram criterion lp microv le ad greater msec defining atrial late potential gave sensitivity specificity
4,effect standing induction paroxysmal supraventricular tachycardia plasma norepinephrine level increased standing patient av reciprocating av node reentrant tachycardia n p le n p le respectively
4,streptokinase treatment femoral artery thrombosis arterial cardiac catheterisation infant child complication
4,false aneurysm formation great artery arterial switch operation postoperative day false aneurysm wa recognized having developed great artery
4,cigarette smoking adiposity noninsulindependent diabetes coronary heart disease japaneseamerican men weight gain associated cessation smoking appears unrelated atherogenic change lipid lipoprotein insulin
4,radiationassociated valvular disease asymptomatic ravd diagnosed year mediastinal irradiation compared year symptomatic patient emphasizing longterm followup important patient receiving mediastinal irradiation
4,overestimation myocardial infarct size histologic measurement model occlusion followed reperfusion model ischemia followed reperfusion fixation processing viable tissue shrank twice necrotic tissue
4,prostacyclin production myocardial infarction acute phase followup followup year myocardial infarction cardiac event occurred noted patient exhibited expected increase prostacyclin production association infarction
4,framingham disability study relationship coronary heart disease manifestation disability older person living community congestive heart failure predicted disability woman
4,cardiac arrest hypertonic citrate anticoagulation chronic hemodialysis author postulate loss positive calcium flux dialysate conjunction circulating unmetabolized citrate caused electrolyte imbalance leading potentially fatal arrhythmia
4,acute coronary artery occlusion percutaneous transluminal coronary angioplasty acute coronary artery occlusion ptca unpredictable frequency higher patient unstable angina multivessel disease complex lesion
4,grinspan s syndrome druginduced phenomenon case apparently druginduced grinspan s syndrome involving triad oral lichen planus diabetes mellitus hypertension reported
4,intraoperative coronary artery endarterectomy excimer laser main limitation method lie fact laser coronary recanalization confined fiber core diameter
4,lethal complication papaverineinduced priapism report yearold black man advanced multiple sclerosis died therapy
4,septic pulmonary embolus previously unreported knowledge complication septic pulmonary embolus secondary rightsided endocarditis
4,effect intravenous streptokinase early mortality patient suspected acute myocardial infarction patient suspected acute inferior infarction benefit treatment reducing early mortality smaller magnitude le certain
4,chest pain teenager teenager chest pain illness symptom usually resolve therapy
4,sympathovagal interaction mental stress arterial pressure increased significantly group subject
4,acquired lutembacher syndrome mitral stenosis acquired atrial septal defect transseptal mitral valvuloplasty color doppler echocardiography cardiac catheterization demonstrated atrial septal defect asd restenosis mitral valve
4,case lisinoprilinduced lithium toxicity describe patient developed lithium toxicity lisinopril wa substituted clonidine possible mechanism angiotensinconverting enzyme ace inhibitorinduced lithium toxicity discussed
4,spectrum portal vein thrombosis liver transplantation survival rate correlated blood required transfusion surgery
4,effect severe pulmonary hypertension calculation mitral valve area patient mitral stenosis direct measurement valve area twodimensional echocardiography wa possible patient correlated doppler value r
4,tachycardia reversal onekidney oneclip hypertension conscious rat separate experiment short term infusion min sodium nitroprusside conscious freely moving rat produced similar tachycardia hypertensive shamoperated rat
4,clinical experience nimbus pump application limited access route size
4,influence obesity impaired glucose tolerance niddm ldl structure composition cholesterol ldl cholesterol level affected surgery highdensitylipoprotein cholesterol wa increased patient surgery
4,pathologic involvement left ventricle chronic cor pulmonale percentage fibrosis left ventricle wa significantly greater patient right ventricular hypertrophy
4,iliofemoral arterial complication balloon angioplasty systemic obstruction infant child medical radiological record consecutive infant child underwent transfemoral balloon dilation aorta aortic valve reviewed determine incidence nature posttreatment outcome acute iliofemoral complication patient entire group group acute iliofemoral complication reduced absent pedal pulse time discharge
4,surgical correction recurrent venous ulcer patient incompetent deep valve perforators disassociation superficial deep system stripping plus correction deep valvular incompetence valvuloplasty transposition valve transplant produced superior result treatment recurrent ulcer compared perforator ligation saphenous vein stripping p le
4,surgical indication aortic arch hypoplasia infant correlation proved order obtain postoperative pressure gradient ratio le distal arch outer diameter mm distal arch index necessary
4,effect captopril renal function hypertensive dog unilateral renal artery stenosis studied radionuclide dynamic scintigraphy hour administration mgkg captopril function stenotic kidney wa partially restored hour timeactivity curve comparable control scan
4,dialysisinduced alteration left ventricular filling mechanism clinical significance result suggest hemodialysis result discrete alteration early lv filling significant compensatory increase late atrialassisted ventricular filling
4,emergency aortocoronary bypass failed angioplasty reaching statistical significance data suggest higher death postoperative myocardial infarction rate patient multiplevessel disease
4,total knee arthroplasty diabetes mellitus rate deep joint infection diabetic patient wa statistically higher reported incidence sepsis nondiabetic patient
4,aorticoleft ventricular tunnel longterm outcome surgical repair patient presenting infancy echocardiography provides necessary morphologic information enable surgical correction angiography
4,correlation isomeric fatty acid human adipose tissue clinical risk factor cardiovascular disease total level fatty acid isomer adipose tissue derived analysis wa representative isomer dietary origin wa significantly correlated cardiovascular risk
4,result intracoronary stent management coronary dissection balloon angioplasty patient multiple stent implantation restenosis n reocclusion n compared patient single stent implantation
